model,smote_used,precision,recall,f1,roc_auc,pr_auc,support_pos,hyperparameters,inference_latency_ms,run_timestamp
random_forest_pre_smote,False,0.92,0.7263157894736842,0.8117647058823529,0.9597933422460142,0.79679251055,95,,0.0027101847331625,2026-06-18T20:08:38.297446
xgboost_pre_smote,False,0.9605263157894736,0.7684210526315789,0.8538011695906432,0.9749537565648956,0.820156578981929,95,,0.0024704426801171,2026-06-18T20:08:45.717942
dnn_pre_smote,False,0.8690476190476191,0.7684210526315789,0.8156424581005587,0.964629787740078,0.7416316937892895,95,,0.0388412334751503,2026-06-18T20:09:20.275427
random_forest_post_smote,True,0.7653061224489796,0.7894736842105263,0.7772020725388601,0.9682398879938012,0.7943317315502191,95,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.0045519142673882,2026-06-18T20:12:41.992467
xgboost_post_smote,True,0.8539325842696629,0.8,0.8260869565217391,0.967476209366862,0.814058357781024,95,,0.00353696100663,2026-06-18T20:12:59.886705
dnn_post_smote,True,0.7623762376237624,0.8105263157894737,0.7857142857142857,0.9443486388032356,0.8116132455597761,95,,0.0386019367815908,2026-06-18T20:15:23.918152
