model,smote_used,precision,recall,f1,roc_auc,pr_auc,support_pos,hyperparameters,inference_latency_ms,run_timestamp
xgboost_pre_smote,False,0.9605263157894736,0.7684210526315789,0.8538011695906432,0.9749537565648956,0.820156578981929,95,,0.0029783121511748,2026-06-15T15:36:04.423933
xgboost_post_smote,True,0.8539325842696629,0.8,0.8260869565217391,0.967476209366862,0.814058357781024,95,,0.0048976224675368,2026-06-15T15:42:38.832664
random_forest_pre_smote,False,0.9714285714285714,0.7157894736842105,0.8242424242424242,0.9434960501463716,0.8133527068606966,95,,0.004413487295872,2026-06-15T15:35:56.062842
random_forest_post_smote,True,0.9,0.7578947368421053,0.8228571428571428,0.9773805265666328,0.8085472724235406,95,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 25, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.0068810603483585,2026-06-15T15:42:17.646250
dnn_pre_smote,False,0.8674698795180723,0.7578947368421053,0.8089887640449438,0.9670180021906986,0.7352089503448861,95,,0.0295174561754219,2026-06-15T15:36:22.535246
dnn_post_smote,True,0.7628865979381443,0.7789473684210526,0.7708333333333334,0.948674014208882,0.7995009871140342,95,,0.0324651015446409,2026-06-15T15:44:40.310046
